repo,oldfolder,newfolder
0002,MiscMssLargeB1F14,miscmsslarge_box1_f14
0002,MiscMssLargeB1F2,miscmsslarge_box1_f2
0002,cajs_rarms121,kcajs_rar_ms121
0002,cajs_rarms125,kcajs_rar_ms125
0002,cajs_rarms126,kcajs_rar_ms126
0002,cajs_rarms13,kcajs_rar_ms13
0002,cajs_rarms132,kcajs_rar_ms132
0002,cajs_rarms137,kcajs_rar_ms137
0002,cajs_rarms141,kcajs_rar_ms141
0002,cajs_rarms142,kcajs_rar_ms142
0002,cajs_rarms143,kcajs_rar_ms143
0002,cajs_rarms147,kcajs_rar_ms147
0002,cajs_rarms159,kcajs_rar_ms159
0002,cajs_rarms166,kcajs_rar_ms166
0002,cajs_rarms169,kcajs_rar_ms169
0002,cajs_rarms175,kcajs_rar_ms175
0002,cajs_rarms176,kcajs_rar_ms176
0002,cajs_rarms205,kcajs_rar_ms205
0002,cajs_rarms207,kcajs_rar_ms207
0002,cajs_rarms211,kcajs_rar_ms211
0002,cajs_rarms214,kcajs_rar_ms214
0002,cajs_rarms216,kcajs_rar_ms216
0002,cajs_rarms228,kcajs_rar_ms228
0002,cajs_rarms242,kcajs_rar_ms242
0002,cajs_rarms26,kcajs_rar_ms26
0002,cajs_rarms28,kcajs_rar_ms28
0002,cajs_rarms280,kcajs_rar_ms280
0002,cajs_rarms30,kcajs_rar_ms30
0002,cajs_rarms303,kcajs_rar_ms303
0002,cajs_rarms364,kcajs_rar_ms364
0002,cajs_rarms38,kcajs_rar_ms38
0002,cajs_rarms382,kcajs_rar_ms382
0002,cajs_rarms395,kcajs_rar_ms395
0002,cajs_rarms400,kcajs_rar_ms400
0002,cajs_rarms415,kcajs_rar_ms415
0002,cajs_rarms416,kcajs_rar_ms416
0002,cajs_rarms419,kcajs_rar_ms419
0002,cajs_rarms445,kcajs_rar_ms445
0002,cajs_rarms446,kcajs_rar_ms446
0002,cajs_rarms447,kcajs_rar_ms447
0002,cajs_rarms448,kcajs_rar_ms448
0002,halper12a,h012a
0002,halper12b,h012b
0002,kcajs_rar_ms_153,kcajs_rar_ms153
0002,kcajs_rar_ms_156,kcajs_rar_ms156
0002,kcajs_rar_ms_283,kcajs_rar_ms283
0002,ljs_422,remove/from/collection
0002,misc_mss_box23_fldr24,miscmss_box23_f24
0002,misc_mss_box24_fldr3,miscmss_box24_f3
0002,misc_mss_box24_fldr4,miscmss_box24_f4
0002,misc_mss_box3_fldr12,miscmss_box3_f12
0002,misc_mss_box3_fldr13,miscmss_box3_f13
0002,miscmsslarge_box3f8,miscmsslarge_box3_f8
0002,miscmsslarge_box3f9,miscmsslarge_box3_f9
0002,ms_coll_700_item1,mscoll700_item1
0002,ms_coll_700_item100,mscoll700_item100
0002,ms_coll_700_item101,mscoll700_item101
0002,ms_coll_700_item102,mscoll700_item102
0002,ms_coll_700_item104,mscoll700_item104
0002,ms_coll_700_item105,mscoll700_item105
0002,ms_coll_700_item106,mscoll700_item106
0002,ms_coll_700_item107,mscoll700_item107
0002,ms_coll_700_item108,mscoll700_item108
0002,ms_coll_700_item109,mscoll700_item109
0002,ms_coll_700_item111,mscoll700_item111
0002,ms_coll_700_item113,mscoll700_item113
0002,ms_coll_700_item114,mscoll700_item114
0002,ms_coll_700_item116,mscoll700_item116
0002,ms_coll_700_item117,mscoll700_item117
0002,ms_coll_700_item119,mscoll700_item119
0002,ms_coll_700_item120,mscoll700_item120
0002,ms_coll_700_item123,mscoll700_item123
0002,ms_coll_700_item124,mscoll700_item124
0002,ms_coll_700_item125,mscoll700_item125
0002,ms_coll_700_item129,mscoll700_item129
0002,ms_coll_700_item131,mscoll700_item131
0002,ms_coll_700_item133,mscoll700_item133
0002,ms_coll_700_item135,mscoll700_item135
0002,ms_coll_700_item136,mscoll700_item136
0002,ms_coll_700_item139,mscoll700_item139
0002,ms_coll_700_item143,mscoll700_item143
0002,ms_coll_700_item145,mscoll700_item145
0002,ms_coll_700_item146,mscoll700_item146
0002,ms_coll_700_item148,mscoll700_item148
0002,ms_coll_700_item149,mscoll700_item149
0002,ms_coll_700_item15,mscoll700_item15
0002,ms_coll_700_item150,mscoll700_item150
0002,ms_coll_700_item152,mscoll700_item152
0002,ms_coll_700_item153,mscoll700_item153
0002,ms_coll_700_item154,mscoll700_item154
0002,ms_coll_700_item157,mscoll700_item157
0002,ms_coll_700_item158,mscoll700_item158
0002,ms_coll_700_item159,mscoll700_item159
0002,ms_coll_700_item161,mscoll700_item161
0002,ms_coll_700_item162,mscoll700_item162
0002,ms_coll_700_item163,mscoll700_item163
0002,ms_coll_700_item164,mscoll700_item164
0002,ms_coll_700_item165,mscoll700_item165
0002,ms_coll_700_item167,mscoll700_item167
0002,ms_coll_700_item169,mscoll700_item169
0002,ms_coll_700_item170,mscoll700_item170
0002,ms_coll_700_item171,mscoll700_item171
0002,ms_coll_700_item172,mscoll700_item172
0002,ms_coll_700_item173,mscoll700_item173
0002,ms_coll_700_item174,mscoll700_item174
0002,ms_coll_700_item184,mscoll700_item184
0002,ms_coll_700_item185,mscoll700_item185
0002,ms_coll_700_item186,mscoll700_item186
0002,ms_coll_700_item187,mscoll700_item187
0002,ms_coll_700_item191,mscoll700_item191
0002,ms_coll_700_item192,mscoll700_item192
0002,ms_coll_700_item193,mscoll700_item193
0002,ms_coll_700_item194,mscoll700_item194
0002,ms_coll_700_item197,mscoll700_item197
0002,ms_coll_700_item198,mscoll700_item198
0002,ms_coll_700_item2,mscoll700_item2
0002,ms_coll_700_item200,mscoll700_item200
0002,ms_coll_700_item203,mscoll700_item203
0002,ms_coll_700_item206,mscoll700_item206
0002,ms_coll_700_item207,mscoll700_item207
0002,ms_coll_700_item21,mscoll700_item21
0002,ms_coll_700_item210,mscoll700_item210
0002,ms_coll_700_item211,mscoll700_item211
0002,ms_coll_700_item212,mscoll700_item212
0002,ms_coll_700_item214,mscoll700_item214
0002,ms_coll_700_item217,mscoll700_item217
0002,ms_coll_700_item218,mscoll700_item218
0002,ms_coll_700_item219,mscoll700_item219
0002,ms_coll_700_item220,mscoll700_item220
0002,ms_coll_700_item32,mscoll700_item32
0002,ms_coll_700_item42,mscoll700_item42
0002,ms_coll_700_item43,mscoll700_item43
0002,ms_coll_700_item44,mscoll700_item44
0002,ms_coll_700_item49,mscoll700_item49
0002,ms_coll_700_item50,mscoll700_item50
0002,ms_coll_700_item54,mscoll700_item54
0002,ms_coll_700_item55,mscoll700_item55
0002,ms_coll_700_item56,mscoll700_item56
0002,ms_coll_700_item57,mscoll700_item57
0002,ms_coll_700_item60,mscoll700_item60
0002,ms_coll_700_item61,mscoll700_item61
0002,ms_coll_700_item64,mscoll700_item64
0002,ms_coll_700_item65,mscoll700_item65
0002,ms_coll_700_item66,mscoll700_item66
0002,ms_coll_700_item67,mscoll700_item67
0002,ms_coll_700_item68,mscoll700_item68
0002,ms_coll_700_item69,mscoll700_item69
0002,ms_coll_700_item71and74,mscoll700_item71_item74
0002,ms_coll_700_item75,mscoll700_item75
0002,ms_coll_700_item77,mscoll700_item77
0002,ms_coll_700_item8,mscoll700_item8
0002,ms_coll_700_item81,mscoll700_item81
0002,ms_coll_700_item83,mscoll700_item83
0002,ms_coll_700_item87,mscoll700_item87
0002,ms_coll_700_item89,mscoll700_item89
0002,ms_coll_700_item90,mscoll700_item90
0002,ms_coll_700_item92,mscoll700_item92
0002,ms_coll_700_item93,mscoll700_item93
0002,ms_coll_700_item94,mscoll700_item94
0002,ms_coll_700_item95,mscoll700_item95
0002,ms_coll_700_item96,mscoll700_item96
0002,msbox23_folder26,miscmss_box23_f26
0002,mscodex_1998,mscodex1998
0002,mscodex_2009,mscodex2009
0002,mscodex_39,mscodex39
0008,Mss003044,MSS003044
0013,973.781Sn62_v01,973_781_Sn62_v01
0013,973.781Sn62_v02,973_781_Sn62_v02
0013,973.781Sn62_v03,973_781_Sn62_v03
0013,973.781Sn62_v04,973_781_Sn62_v04
0030,MSS_BH_005_COCH,spc_mss_bh_005_coch
0030,MSS_BH_007_COCH,spc_mss_bh_007_coch
0030,MSS_BH_056_COCH,spc_mss_bh_056_coch
0030,MSS_BH_057_COCH,spc_mss_bh_057_coch
0030,MSS_BH_100_COCH,spc_mss_bh_100_coch
0030,MSS_BH_19_COCH,spc_mss_bh_019_coch
0030,MSS_LT_055,spc_mss_lt_055
0030,SCRC_311,scrc331
0030,SPC_MSS_BH_036_COCH,spc_mss_bh_036_coch
0043,Mss_494_9_T84,ms_494_9_t84
